Date,Open,High,Low,Close,Volume
2022-01-03,6.17,6.3,5.86,5.91,2044700
2022-01-04,5.91,5.94,5.48,5.52,2338200
2022-01-05,5.48,5.53,5.28,5.33,2302400
2022-01-06,5.33,5.34,5.14,5.17,2480200
2022-01-07,5.14,5.39,5.1,5.17,3869100
2022-01-10,5.15,5.34,5.05,5.23,3868800
2022-01-11,5.21,5.52,5.2,5.46,2192500
2022-01-12,5.49,5.75,5.45,5.64,2344800
2022-01-13,5.59,5.68,5.49,5.61,1527100
2022-01-14,5.6,5.66,5.39,5.5,1699700
2022-01-17,5.5,5.57,5.26,5.35,1383000
2022-01-18,5.36,5.43,5.18,5.24,2424100
2022-01-19,5.28,5.51,5.25,5.42,2176700
2022-01-20,5.6,6.0,5.56,5.77,3426400
2022-01-21,5.74,5.88,5.58,5.6,3620400
2022-01-24,5.57,5.65,5.38,5.6,2750900
2022-01-25,5.53,5.93,5.46,5.84,2938800
2022-01-26,5.96,6.06,5.79,5.88,4467700
2022-01-27,6.01,6.42,6.01,6.28,4181600
2022-01-28,6.23,6.42,6.17,6.37,3934100
2022-01-31,6.44,6.63,6.35,6.58,2633300
2022-02-01,6.58,6.77,6.29,6.34,2576300
2022-02-02,6.33,6.41,6.15,6.21,2050300
2022-02-03,6.23,6.35,6.0,6.12,2948200
2022-02-04,6.14,6.15,5.86,5.99,2310300
2022-02-07,5.98,6.0,5.78,5.85,1846600
2022-02-08,5.82,5.99,5.73,5.88,1734000
2022-02-09,5.89,6.11,5.81,5.87,1575300
2022-02-10,5.89,5.99,5.76,5.87,1995600
2022-02-11,5.91,6.09,5.65,5.75,3040500
2022-02-14,5.75,5.84,5.57,5.61,2059000
2022-02-15,5.64,5.85,5.63,5.84,2196800
2022-02-16,5.86,6.0,5.75,5.83,2218600
2022-02-17,5.82,5.91,5.57,5.61,4485500
2022-02-18,5.66,5.73,5.58,5.69,2313700
2022-02-21,5.68,5.7,5.34,5.39,2460300
2022-02-22,5.45,5.48,5.28,5.36,2231300
2022-02-23,5.4,5.47,5.24,5.31,3505100
2022-02-24,5.07,5.33,4.92,5.27,2613100
2022-02-25,5.22,5.33,5.09,5.17,1776900
2022-03-02,5.09,5.17,5.0,5.07,2274100
2022-03-03,5.07,5.36,5.05,5.05,2116200
2022-03-04,5.05,5.08,4.84,4.91,2782800
2022-03-07,4.87,4.87,4.45,4.45,3496200
2022-03-08,4.51,4.59,4.33,4.5,4412200
2022-03-09,4.55,4.82,4.54,4.73,3479000
2022-03-10,4.7,4.7,4.39,4.51,3138700
2022-03-11,4.86,4.89,4.32,4.4,5314800
2022-03-14,4.41,4.49,4.27,4.4,3502600
2022-03-15,4.38,4.67,4.34,4.66,3648200
2022-03-16,4.7,4.87,4.64,4.85,3023600
2022-03-17,4.84,5.0,4.72,4.97,2229500
2022-03-18,4.94,5.27,4.89,5.16,3719200
2022-03-21,5.18,5.34,5.06,5.08,2980300
2022-03-22,5.12,5.22,5.05,5.09,2609200
2022-03-23,5.08,5.28,4.99,5.23,5289000
2022-03-24,5.3,5.54,5.29,5.54,3712300
2022-03-25,5.54,5.75,5.41,5.44,4172200
2022-03-28,5.47,5.61,5.33,5.51,3528600
2022-03-29,5.63,5.85,5.61,5.82,3923800
2022-03-30,5.82,5.85,5.61,5.61,2368900
2022-03-31,5.65,5.7,5.51,5.51,1926600
2022-04-01,5.55,5.6,5.36,5.58,7181900
2022-04-04,5.61,5.67,5.52,5.58,2303300
2022-04-05,5.59,5.61,5.26,5.29,2790600
2022-04-06,5.25,5.25,4.99,5.12,4201200
2022-04-07,5.13,5.17,4.92,5.05,6002200
2022-04-08,5.02,5.04,4.86,4.94,3786000
2022-04-11,4.88,4.98,4.81,4.81,2837800
