Date,Open,High,Low,Close,Volume
2022-01-03,12.92,13.23,12.92,13.17,52704700
2022-01-04,13.2,13.31,13.09,13.22,51739200
2022-01-05,13.22,13.25,12.65,12.71,78459800
2022-01-06,12.81,12.97,12.61,12.7,61163100
2022-01-07,12.73,12.81,12.6,12.76,47507600
2022-01-10,12.67,12.79,12.55,12.68,37455200
2022-01-11,12.72,13.16,12.61,13.06,73623800
2022-01-12,13.11,13.54,13.11,13.46,81378200
2022-01-13,13.37,13.87,13.36,13.73,76717500
2022-01-14,13.71,14.31,13.69,14.24,96458800
2022-01-17,14.22,14.4,14.15,14.26,35675900
2022-01-18,14.29,14.48,14.02,14.33,78198800
2022-01-19,14.45,14.59,14.24,14.26,77480200
2022-01-20,14.26,14.49,14.09,14.36,85353100
2022-01-21,14.3,14.44,14.28,14.39,61345400
2022-01-24,14.35,14.6,14.06,14.47,79117100
2022-01-25,14.36,15.05,14.3,14.94,98358500
2022-01-26,15.08,15.52,15.08,15.34,98679900
2022-01-27,15.51,15.69,15.02,15.34,90631000
2022-01-28,15.31,15.56,14.59,14.74,117400500
2022-01-31,14.72,14.94,14.52,14.65,62450300
2022-02-01,14.65,15.09,14.47,14.94,57315200
2022-02-02,15.13,15.17,14.65,14.73,36271700
2022-02-03,14.65,14.91,14.32,14.52,51087800
2022-02-04,14.68,15.05,14.44,14.78,59346800
2022-02-07,14.74,14.84,14.55,14.56,48868100
2022-02-08,14.45,14.47,14.16,14.41,62590000
2022-02-09,14.37,14.8,14.33,14.47,50960500
2022-02-10,14.63,14.9,14.46,14.69,49534600
2022-02-11,14.84,15.36,14.78,15.29,88013400
2022-02-14,15.33,15.37,14.86,14.94,55687000
2022-02-15,14.79,14.8,14.44,14.71,65689000
2022-02-16,14.87,15.26,14.84,14.91,65811600
2022-02-17,14.88,15.08,14.74,14.85,43255200
2022-02-18,14.75,14.98,14.61,14.94,60304700
2022-02-21,14.97,15.4,14.94,15.33,51263800
2022-02-22,15.5,15.7,15.04,15.28,80206700
2022-02-23,15.48,15.67,15.31,15.5,86530100
2022-02-24,15.76,15.98,14.8,15.12,139674100
2022-02-25,15.15,15.4,14.9,15.4,86189100
2022-03-02,15.97,15.98,15.57,15.7,58071800
2022-03-03,15.77,15.82,15.47,15.51,69237400
2022-03-04,15.43,15.7,15.32,15.5,55418000
2022-03-07,15.62,15.67,14.32,14.4,110954100
2022-03-08,14.49,14.93,14.27,14.7,111633500
2022-03-09,14.76,14.86,14.37,14.74,87779300
2022-03-10,14.76,15.67,14.73,15.26,136437700
2022-03-11,15.36,15.57,14.52,14.71,92153700
2022-03-14,14.69,14.89,14.27,14.43,52274100
2022-03-15,14.1,14.28,13.8,14.08,66272000
2022-03-16,14.26,14.28,13.75,13.96,72034900
2022-03-17,14.15,14.22,13.36,13.59,178319300
2022-03-18,13.63,13.96,13.52,13.86,93097100
2022-03-21,14.0,14.53,13.88,14.38,67700800
2022-03-22,14.49,14.54,14.2,14.32,56128600
2022-03-23,14.46,14.7,14.35,14.51,52956100
2022-03-24,14.51,14.76,14.34,14.68,49402800
2022-03-25,14.56,14.74,14.45,14.63,51780100
2022-03-28,14.52,14.53,14.03,14.31,68610500
2022-03-29,14.55,14.84,14.45,14.63,93809000
2022-03-30,14.72,14.94,14.66,14.94,69648400
2022-03-31,14.75,15.2,14.72,15.15,94269500
2022-04-01,15.19,15.3,14.9,14.95,72545400
2022-04-04,14.9,14.9,14.6,14.81,56053000
2022-04-05,14.79,14.97,14.67,14.67,45847200
2022-04-06,14.76,14.84,14.51,14.65,56947100
2022-04-07,14.78,15.42,14.72,15.41,118469400
2022-04-08,15.43,15.58,15.33,15.49,60772700
2022-04-11,15.35,15.44,15.3,15.37,48125400
2022-04-12,15.58,15.7,15.31,15.33,68522800
2022-04-13,15.56,15.76,15.44,15.65,101438800
2022-04-14,15.65,15.89,15.44,15.49,119382100
2022-04-18,15.44,15.55,15.09,15.22,76350600
2022-04-19,15.44,15.85,15.42,15.68,88494100
2022-04-20,15.68,15.83,15.52,15.75,34694700
2022-04-22,15.38,15.51,15.02,15.14,74560900
2022-04-25,14.85,15.08,14.63,14.92,66413900
2022-04-26,14.92,15.15,14.81,14.89,48764100
2022-04-27,15.05,15.14,14.84,14.89,41881300
2022-04-28,15.09,15.17,14.99,14.99,43298500
2022-04-29,15.23,15.65,15.0,15.0,76243900
2022-05-02,14.95,15.03,14.53,14.85,72456200
2022-05-03,14.92,15.06,14.77,14.99,52531000
2022-05-04,15.16,15.94,15.06,15.89,109417000
2022-05-05,15.76,16.1,15.37,15.86,99439900
2022-05-06,16.19,16.41,15.8,16.38,129570200
2022-05-09,16.2,16.37,15.88,15.93,92314500
2022-05-10,16.03,16.27,15.95,16.07,60330600
2022-05-11,16.24,16.8,16.19,16.63,108895400
2022-05-12,16.48,16.88,16.48,16.76,114415900
2022-05-13,16.89,17.06,16.79,16.98,67000100
2022-05-16,16.97,17.28,16.85,17.15,92075300
2022-05-17,17.34,17.41,16.91,16.92,90914700
2022-05-18,16.93,17.12,16.56,16.65,80986200
2022-05-19,16.61,16.99,16.51,16.93,63983100
2022-05-20,17.14,17.25,16.97,17.25,79589900
2022-05-23,17.43,17.99,17.41,17.93,93807400
2022-05-24,17.22,17.72,16.95,17.45,154453100
2022-05-25,17.5,17.82,17.26,17.69,69991900
2022-05-26,17.68,17.98,17.64,17.74,78303600
2022-05-27,17.75,17.75,16.88,16.89,118295600
2022-05-30,17.03,17.04,16.08,16.56,98110100
2022-05-31,16.79,16.9,16.46,16.6,83598000
2022-06-01,16.51,16.74,16.48,16.57,46353200
2022-06-02,16.55,16.59,16.31,16.43,50738300
2022-06-03,16.4,16.8,16.3,16.72,60396900
2022-06-06,16.84,16.85,16.51,16.73,39213900
2022-06-07,16.67,17.28,16.65,16.93,80333700
2022-06-08,16.79,17.2,16.74,16.84,65923900
2022-06-09,16.84,16.93,16.55,16.6,53879000
2022-06-10,16.57,16.57,16.04,16.37,63101700
2022-06-13,16.02,16.33,15.83,16.16,64507100
2022-06-14,16.37,16.7,16.14,16.34,68816900
2022-06-15,16.56,16.57,15.92,16.05,72785700
2022-06-17,15.55,15.71,14.43,15.08,184606500
2022-06-20,14.36,15.6,14.3,15.25,92581800
2022-06-21,15.35,15.55,14.73,14.94,85179500
2022-06-22,14.67,15.21,14.57,14.9,57874700
2022-06-23,14.89,15.12,14.42,14.62,69262300
2022-06-24,14.77,14.96,14.45,14.51,53413400
2022-06-27,14.81,15.5,14.72,15.45,90417700
2022-06-28,15.78,15.92,15.47,15.64,51388000
2022-06-29,15.72,15.91,15.37,15.5,52048800
2022-06-30,15.26,15.49,15.13,15.42,49910100
2022-07-01,15.5,15.93,15.19,15.75,64948200
2022-07-04,15.76,16.16,15.76,16.09,37324200
2022-07-05,15.95,15.98,15.21,15.47,78428500
2022-07-06,15.55,15.72,14.86,15.28,57617200
2022-07-07,15.46,15.97,15.46,15.72,52147300
2022-07-08,15.75,15.99,15.66,15.9,43097800
2022-07-11,15.63,15.89,15.6,15.82,39577600
2022-07-12,15.62,15.7,15.44,15.58,46462000
2022-07-13,15.53,15.72,15.45,15.6,35497200
2022-07-14,15.46,15.46,15.04,15.18,47151000
2022-07-15,15.29,15.49,15.18,15.44,38610800
2022-07-18,15.67,15.84,15.62,15.79,46782300
2022-07-19,15.76,16.14,15.68,16.11,48562300
2022-07-20,16.05,16.13,15.92,16.1,43520800
2022-07-21,16.0,16.08,15.57,16.02,58843200
2022-07-22,16.03,16.27,15.93,16.19,55676200
2022-07-25,16.35,16.98,16.35,16.95,79106600
2022-07-26,17.22,17.46,16.89,17.12,78360100
2022-07-27,17.28,17.37,16.9,17.31,56097200
2022-07-28,17.44,18.01,17.35,17.83,114996500
2022-07-29,18.55,19.13,18.12,18.85,181480600
2022-08-01,18.77,18.85,18.34,18.59,81365100
2022-08-02,18.64,19.05,18.48,18.68,69147100
2022-08-03,18.78,18.86,18.53,18.69,65544500
2022-08-04,18.81,18.99,18.54,18.89,54387500
2022-08-05,18.85,19.36,18.84,19.25,77882600
2022-08-08,19.4,20.3,19.39,20.22,109484600
2022-08-09,20.43,20.68,20.34,20.55,79051200
