Date,Open,High,Low,Close,Volume
2022-01-03,31.63,32.37,30.96,30.96,5475700
2022-01-04,31.15,31.26,30.69,30.8,4485400
2022-01-05,30.7,30.7,29.1,29.18,8402200
2022-01-06,29.22,29.95,28.96,29.17,6043900
2022-01-07,29.22,29.32,28.33,28.43,6155500
2022-01-10,28.34,28.47,27.37,27.61,7796200
2022-01-11,27.56,28.1,27.19,28.07,7274600
2022-01-12,28.03,29.39,27.74,29.22,10750500
2022-01-13,29.16,29.32,27.99,28.13,12602100
2022-01-14,28.04,29.83,27.77,29.68,12708400
2022-01-17,29.59,29.76,29.03,29.34,5187200
2022-01-18,29.3,29.76,28.9,29.52,9922400
2022-01-19,29.79,30.26,29.44,29.49,6666600
2022-01-20,29.55,30.14,29.33,29.72,6339400
2022-01-21,29.67,29.73,29.13,29.59,6589400
2022-01-24,29.53,29.54,28.35,28.91,10710400
2022-01-25,28.88,29.33,28.64,29.2,7030700
2022-01-26,29.44,30.3,29.25,29.72,12183300
2022-01-27,29.96,31.42,29.73,31.32,10350400
2022-01-28,31.26,31.26,29.93,30.57,9012800
2022-01-31,30.58,31.42,30.39,31.09,7201500
2022-02-01,31.03,31.6,30.71,30.99,4459400
2022-02-02,31.14,31.83,30.61,30.71,4925100
2022-02-03,30.76,31.04,29.84,29.92,5506300
2022-02-04,29.93,29.95,29.43,29.82,5170800
2022-02-07,29.87,30.3,29.51,29.97,5010100
2022-02-08,29.75,29.91,29.05,29.22,6430500
2022-02-09,29.52,29.94,29.26,29.28,5009700
2022-02-10,29.28,29.53,28.64,28.75,8569200
2022-02-11,28.81,29.01,28.48,28.55,9352700
2022-02-14,28.52,29.91,28.52,29.43,10962400
2022-02-15,29.97,31.79,29.93,31.79,11758400
2022-02-16,31.9,32.07,29.75,30.26,20714400
2022-02-17,30.51,30.76,29.55,29.63,8085500
2022-02-18,29.81,29.97,28.69,28.82,6716700
2022-02-21,29.02,29.1,28.58,28.74,4769200
2022-02-22,29.01,29.29,28.75,28.75,5137500
2022-02-23,28.82,29.37,27.74,27.84,7304600
2022-02-24,27.0,28.79,26.79,28.54,9964800
2022-02-25,28.21,29.07,28.04,28.62,13633700
2022-03-02,28.62,29.97,28.57,29.45,10503800
2022-03-03,29.45,30.56,29.33,30.42,10167600
2022-03-04,30.42,31.42,30.25,30.67,9286000
2022-03-07,30.19,31.12,30.03,30.26,11272000
2022-03-08,30.26,31.25,30.26,30.73,9613000
2022-03-09,31.0,31.98,30.69,31.8,8949000
2022-03-10,31.51,31.53,30.35,30.88,6884800
2022-03-11,30.98,31.22,30.28,30.56,4591900
2022-03-14,30.56,30.72,30.12,30.2,4247300
2022-03-15,30.08,31.11,29.3,29.4,10034200
2022-03-16,29.5,31.17,28.94,31.13,12743400
2022-03-17,31.15,32.37,30.67,32.22,10140900
2022-03-18,32.15,32.5,31.65,32.41,12356000
2022-03-21,32.27,32.41,31.16,31.69,8384300
2022-03-22,32.1,32.58,31.84,32.12,7019900
2022-03-23,32.05,32.22,31.52,31.88,8557300
2022-03-24,32.06,32.59,31.78,32.25,7001100
2022-03-25,32.4,32.69,31.56,32.01,7154700
2022-03-28,32.16,33.08,31.92,32.74,8764800
2022-03-29,33.13,33.53,32.91,33.09,6285900
2022-03-30,33.09,33.51,33.0,33.28,5573300
2022-03-31,33.5,34.4,33.5,33.98,11060600
2022-04-01,34.3,34.92,34.2,34.48,12134000
2022-04-04,34.5,34.5,33.63,34.13,5428600
2022-04-05,34.13,34.48,33.68,33.75,4841100
2022-04-06,33.48,34.12,32.83,33.46,8243200
2022-04-07,33.46,33.65,33.1,33.25,5002100
2022-04-08,33.13,33.75,32.8,33.27,4997500
2022-04-11,32.85,33.15,31.72,31.72,8741200
2022-04-12,31.96,32.38,31.41,31.55,7807000
2022-04-13,31.81,31.99,31.39,31.73,7557300
